Gene_name	Light_01	Heavy_01	Light_02	Heavy_02	Light_03	Heavy_03	Light_04	Heavy_04	Light_05	Heavy_05	Light_06	Light_07	Heavy_06	Mixed
cas-1	3	0	19	15	14	10	5	0	8	1	2	7	0	2
cat-4	0	0	0	0	1	0	0	0	0	0	0	0	0	0
cav-1	4	7	5	2	3	4	3	6	2	3	0	4	1	1
cav-2	0	3	0	0	0	0	0	1	0	4	0	0	0	0
ccg-1	0	0	9	0	9	0	4	0	5	0	2	4	0	0
cyp-14A5	0	0	0	2	0	3	0	0	0	0	0	0	0	0
ccr-4	0	0	1	0	0	0	0	0	0	0	0	0	0	0
cct-1	6	0	18	20	23	25	7	16	11	18	4	10	8	3
cct-2	8	1	20	10	15	12	9	11	10	16	2	7	3	0
cct-4	5	0	17	18	12	16	7	10	8	17	2	3	2	1
cct-5	3	0	7	10	6	8	6	8	6	10	2	6	5	1
cct-6	12	1	22	15	16	15	7	10	9	13	3	7	2	0
cdc-42	14	9	7	9	5	5	2	4	2	8	3	5	4	11
cdd-1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
cdd-2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
casy-1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
cdk-1	1	0	1	1	0	0	1	0	3	2	2	3	0	0
cdr-1	0	0	0	1	0	2	0	0	0	0	0	0	0	0
ced-7	2	1	0	0	1	0	0	0	0	0	0	0	0	0
ced-10	5	4	1	3	2	2	1	3	0	3	2	3	0	3
ceh-30	0	0	0	0	0	0	0	0	0	0	1	0	0	0
cpg-1	8	5	8	4	8	2	6	3	9	1	3	7	0	4
cey-1	1	1	2	0	1	0	0	1	0	0	0	0	0	0
cey-2	0	0	17	8	16	8	2	6	3	5	3	6	1	0
cey-3	0	0	7	1	5	1	1	2	0	2	0	1	0	0
cey-4	0	1	11	6	9	6	0	0	0	2	0	1	0	0
cgh-1	0	1	6	13	8	13	5	6	2	11	0	4	7	0
cht-1	0	0	5	0	5	0	0	0	0	0	0	0	0	0
clc-4	3	1	1	1	2	0	2	0	4	1	2	5	0	0
clh-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
clh-6	0	0	0	1	0	0	0	0	0	0	0	0	0	1
cpi-2	2	1	3	0	2	0	0	0	2	1	1	1	0	0
cpi-1	4	5	14	4	16	3	3	1	4	3	3	3	0	2
cln-3.1	0	0	0	0	1	1	0	0	0	1	0	0	0	0
cln-3.3	0	2	0	0	0	1	0	1	0	2	0	0	0	0
clp-1	0	0	2	3	4	1	0	1	1	0	0	1	0	0
clp-4	0	0	2	1	1	0	0	0	0	0	0	0	0	0
clp-7	0	0	1	0	1	0	0	0	0	0	0	0	0	0
cls-2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
clu-1	0	0	14	15	14	17	0	1	1	6	0	0	0	0
cmd-1	1	0	0	0	0	0	0	1	0	2	3	0	0	0
cnx-1	0	1	2	11	1	13	0	5	0	6	0	0	3	0
col-8	0	0	0	1	0	0	0	0	0	0	0	0	0	0
col-19	0	0	0	1	0	1	0	0	0	0	0	0	0	1
col-20	0	0	0	1	0	1	0	0	0	0	0	0	0	2
col-73	0	0	1	0	0	0	0	0	0	0	0	0	0	0
col-80	0	0	0	0	0	1	0	0	0	0	0	0	0	0
col-90	0	0	2	0	2	0	3	2	2	3	1	3	1	0
col-95	0	0	0	1	1	2	0	0	0	0	0	0	0	0
col-98	0	0	0	0	2	0	0	0	0	0	0	0	0	2
col-115	1	0	0	0	0	0	0	0	0	0	0	0	0	0
col-119	0	0	1	2	1	2	0	0	0	0	0	0	0	1
col-122	0	0	0	1	0	4	0	0	0	0	0	0	0	0
col-124	0	0	0	1	1	0	0	0	0	0	0	0	0	0
col-139	0	0	0	0	0	0	0	0	0	0	0	0	0	1
col-140	0	0	0	2	0	0	0	0	0	0	0	0	0	2
col-149	0	0	1	1	2	2	0	1	3	1	1	2	0	0
col-166	0	0	0	1	0	0	0	0	0	0	0	0	0	0
col-167	0	0	0	0	0	0	0	0	0	0	0	0	0	1
col-176	0	0	1	0	0	0	1	0	0	0	0	1	0	0
col-178	0	0	0	0	0	0	0	0	0	0	0	0	0	1
col-181	0	0	0	0	0	0	0	0	0	0	0	0	0	2
cpb-3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
cpf-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
cpl-1	3	2	11	9	18	10	2	4	4	4	2	4	3	13
cpn-1	3	3	4	1	4	0	1	1	2	1	0	2	0	0
cpn-3	6	0	15	5	12	1	9	8	14	11	10	11	1	0
cpr-1	45	25	27	26	31	24	12	14	15	14	7	19	6	21
cpr-3	8	6	6	8	8	7	3	4	1	5	0	3	2	10
cpr-4	42	18	34	10	39	9	18	7	15	12	15	16	6	40
cpr-5	37	8	22	12	25	15	13	13	12	10	12	17	4	7
cpr-6	1	1	12	3	12	1	1	3	4	1	2	4	1	11
cpz-1	0	0	5	1	6	2	2	0	2	1	0	3	0	6
cpz-2	2	0	5	6	10	3	0	0	0	0	0	0	0	19
crn-6	6	22	2	9	4	12	2	6	2	13	2	4	5	15
cars-1	0	0	2	3	4	0	0	1	0	1	0	0	0	0
crt-1	1	2	23	28	29	36	15	9	4	8	1	17	2	44
csn-1	0	0	0	2	1	1	0	0	0	0	0	0	0	0
csn-2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
csn-3	0	0	0	1	0	2	0	0	0	0	0	0	0	0
csn-4	0	0	0	2	0	0	0	0	0	0	0	0	0	0
csn-5	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ctl-1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ctl-2	0	0	4	3	7	2	0	0	0	0	0	0	0	0
cts-1	0	0	16	3	18	6	8	0	8	2	9	10	0	0
cua-1	0	0	2	1	2	0	0	0	0	0	0	0	0	0
cul-1	0	0	0	1	0	1	0	0	0	1	0	0	0	0
cul-2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
cul-3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
cup-2	0	0	0	7	1	4	0	1	0	2	0	0	0	0
cut-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
cyc-1	0	0	0	1	0	4	0	1	0	2	0	0	0	0
cyk-3	2	2	1	1	0	2	0	0	0	0	0	0	0	0
cyn-3	5	5	7	2	2	1	7	2	3	1	2	5	1	1
cyn-5	2	4	4	4	6	5	3	1	2	4	1	3	2	15
cyn-6	0	1	0	0	0	0	0	0	0	0	0	0	0	0
cyn-7	11	9	6	2	5	1	2	2	7	2	4	3	1	10
cyn-12	0	0	1	0	0	0	0	0	0	0	0	0	0	0
cyn-13	0	0	2	1	0	0	0	0	0	0	0	0	0	0
dab-1	0	0	0	1	0	1	0	1	0	0	0	0	0	0
dad-1	0	0	2	2	1	2	0	2	0	2	0	0	1	4
daf-2	0	0	0	1	0	0	0	0	1	0	0	0	0	0
hsp-90	19	19	62	39	64	39	33	28	28	33	19	35	14	7
dao-3	0	0	1	0	1	0	0	0	0	2	0	1	0	0
dcs-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
deb-1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
deg-3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
dgn-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
dhc-1	5	2	1	52	4	51	0	16	0	23	1	0	1	0
dhp-2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
dhs-1	1	1	0	0	0	0	0	0	0	0	0	1	0	0
dhs-2	0	0	0	2	0	1	0	0	0	0	0	0	0	0
dhs-3	0	0	1	15	1	15	0	1	0	1	0	0	0	0
dhs-9	0	0	0	0	0	1	0	0	0	0	0	0	0	0
dhs-12	3	2	4	0	1	1	1	2	1	0	0	2	0	0
dhs-14	0	0	0	0	1	1	0	0	0	0	0	0	0	0
dhs-19	0	0	0	1	1	0	0	0	0	0	0	0	0	0
dhs-20	0	0	0	0	0	3	0	0	0	0	0	0	0	0
dhs-21	0	0	2	0	0	1	0	0	0	0	0	0	0	0
dhs-22	0	0	0	3	0	2	0	0	0	0	0	0	0	0
dhs-25	0	0	1	0	2	1	0	0	0	1	0	0	0	0
dhs-28	1	0	2	3	4	2	0	0	0	0	0	0	0	0
dhs-30	0	0	0	1	0	1	0	0	0	0	0	0	0	0
dif-1	0	0	0	1	0	2	0	0	0	0	0	0	0	0
dig-1	0	0	14	5	13	2	0	1	0	2	0	1	0	1
dim-1	1	0	8	0	9	0	0	0	1	0	0	0	0	0
dlc-1	3	8	5	5	6	5	0	4	1	8	0	1	0	8
dli-1	2	0	3	0	1	0	0	0	0	0	0	0	0	0
dnj-2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
dnj-7	0	0	0	1	0	0	0	0	0	0	0	0	0	0
dnj-11	0	0	0	0	0	1	0	0	0	0	0	0	0	0
dnj-12	0	0	0	1	0	1	0	0	0	1	0	0	0	0
dnj-14	3	2	3	2	8	2	0	2	0	2	0	2	0	0
dnj-16	3	2	3	0	2	0	0	0	0	0	0	0	0	0
dnj-19	0	0	0	1	0	0	0	0	0	0	0	0	0	0
dnj-20	0	0	0	2	0	2	0	0	0	0	0	0	0	0
dnj-27	0	0	0	1	0	0	0	0	0	0	0	0	0	0
dnj-29	0	0	1	10	2	9	0	2	0	6	0	0	0	0
dpf-2	0	2	3	24	5	23	0	8	0	7	0	0	2	5
dpf-3	0	0	2	1	5	0	0	0	0	0	0	0	0	0
dpf-4	0	0	0	0	2	0	0	0	0	0	0	0	0	0
dpf-5	1	0	22	21	17	19	5	3	4	5	1	6	2	0
dpy-4	0	0	1	1	1	1	1	1	1	1	1	1	1	0
dpy-11	1	2	1	11	0	10	0	6	0	8	0	1	0	1
dpy-14	0	0	2	0	2	0	0	0	1	0	0	1	0	0
dpy-18	0	0	1	4	1	2	0	0	0	0	0	0	0	0
dpy-23	1	1	0	0	0	0	0	0	0	0	0	0	0	0
drp-1	2	1	0	2	1	1	4	4	3	3	4	3	1	0
dars-1	3	1	7	8	10	9	0	3	0	7	0	1	1	0
dsc-4	0	0	1	17	3	18	0	0	0	0	0	0	0	0
dsl-6	0	0	2	0	2	0	0	0	0	0	0	0	0	0
dur-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
dyn-1	9	6	10	9	14	5	1	2	2	4	0	1	2	4
eat-6	17	20	35	49	20	43	6	28	0	31	0	16	12	9
ech-6	2	0	9	5	10	6	4	2	6	2	4	6	0	0
ech-7	0	1	11	4	11	4	2	0	3	0	1	5	0	0
eftu-2	0	0	0	20	0	15	0	8	0	11	0	0	6	0
eef-2	28	20	78	45	83	50	32	41	42	42	27	47	21	18
egl-3	0	0	2	0	1	0	0	0	0	0	0	0	0	0
egl-4	9	3	8	7	11	5	2	3	0	3	0	1	0	1
egl-21	0	0	3	0	2	0	0	0	0	0	0	0	0	0
egl-26	2	0	0	0	0	0	0	0	0	0	0	0	0	0
egl-30	4	7	6	7	11	4	0	0	0	0	0	4	0	8
egl-45	0	0	5	32	2	35	0	14	0	18	0	2	1	1
ego-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
eif-3.B	0	0	5	14	6	6	1	1	1	4	0	1	1	0
eif-3.C	0	0	5	17	1	20	0	5	0	4	0	0	0	0
eif-3.D	0	0	2	3	1	6	1	1	0	2	0	0	0	0
eif-3.E	0	0	4	8	6	10	0	1	0	4	0	0	1	0
eif-3.F	0	0	3	0	3	0	0	1	0	1	0	0	0	1
eif-3.G	0	0	3	3	1	2	0	0	0	0	0	0	0	0
eif-3.H	0	0	3	2	2	1	0	0	0	1	0	2	0	0
eif-3.I	0	0	6	9	6	6	0	0	1	0	0	0	0	0
eif-3.K	2	0	2	0	0	0	0	0	1	2	0	1	0	0
eif-6	1	0	4	4	5	3	0	0	0	1	0	0	0	0
elo-1	0	0	2	5	2	6	0	3	0	3	0	0	2	3
elo-2	0	0	2	6	2	3	0	2	0	1	0	0	1	0
elo-5	0	0	0	4	0	3	0	0	0	3	0	0	0	0
elo-6	0	0	1	5	2	5	0	2	0	2	0	0	0	0
elt-1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
emb-4	0	0	0	2	0	3	0	0	0	0	0	0	0	0
emb-8	0	0	2	16	4	16	0	0	0	3	0	0	0	3
emb-30	0	0	0	1	0	0	0	0	0	0	0	0	0	0
emo-1	0	0	1	2	2	2	1	1	1	3	0	1	1	6
emr-1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ent-1	0	0	1	2	1	1	0	1	0	1	0	0	0	0
epi-1	0	0	2	2	4	3	0	0	0	0	0	0	0	0
epn-1	3	3	2	4	0	5	0	2	0	4	0	0	0	2
eps-8	21	165	13	60	25	68	2	70	1	75	0	17	40	153
erd-2.1	0	0	1	2	1	1	0	1	0	0	0	0	0	0
erm-1	29	68	21	31	19	37	7	30	2	45	2	17	21	39
qars-1	1	0	1	20	1	19	0	7	0	7	0	0	1	0
ears-1	0	0	1	22	2	26	0	5	0	6	0	0	0	2
exc-4	0	1	0	0	0	0	0	0	0	0	0	0	0	0
exl-1	0	2	0	0	0	0	0	1	0	1	0	0	0	0
far-1	1	1	24	8	14	3	10	2	9	3	6	8	0	0
far-2	4	2	30	11	22	9	14	8	16	7	13	17	0	5
far-6	0	0	8	1	9	2	5	4	6	4	2	4	0	0
far-8	0	0	3	0	1	0	0	0	1	0	0	0	0	0
fat-1	0	0	1	5	1	7	0	0	0	0	0	0	0	0
fat-2	0	0	1	14	1	20	0	0	0	1	0	0	0	2
fat-4	0	0	0	4	0	5	0	0	0	0	0	0	0	0
fat-5	0	0	0	4	0	4	0	0	0	0	0	0	0	0
fat-6	0	0	0	8	0	7	0	0	0	1	0	0	0	0
fat-7	0	0	0	4	0	3	0	0	0	0	0	0	0	0
fbp-1	1	0	13	3	8	2	6	0	10	0	4	4	0	0
fce-1	0	0	0	3	0	2	0	0	0	0	0	0	0	0
fib-1	1	0	2	5	3	7	0	6	0	3	0	0	1	2
fkb-1	0	0	2	0	0	1	0	0	0	2	0	0	0	1
fkb-2	6	6	7	5	5	4	4	2	2	4	3	3	1	8
fkb-5	0	0	0	2	0	0	0	0	0	0	0	0	0	0
fkb-6	2	0	3	3	7	2	3	2	2	4	0	4	0	0
fmo-1	0	0	0	4	0	3	0	0	0	0	0	0	0	0
fmo-4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
frk-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
frm-1	0	0	1	3	0	1	0	0	0	0	0	0	0	0
frm-5.1	1	1	2	1	2	0	0	0	0	0	0	0	0	0
fars-1	0	0	2	1	3	0	2	0	4	0	0	2	0	0
fars-3	4	0	3	2	1	1	3	1	3	1	1	3	0	0
ftn-2	0	0	0	0	0	1	0	4	0	4	0	0	1	0
ftt-2	15	10	14	7	10	8	6	9	6	8	4	8	5	37
fum-1	0	0	13	5	12	2	1	0	3	2	2	3	0	0
fut-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gck-1	1	11	0	1	0	2	0	3	0	2	0	0	0	1
gcs-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gcy-18	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gdi-1	19	6	24	9	22	5	6	2	11	5	4	14	1	6
lin-66	0	0	0	0	1	0	0	0	0	0	0	0	0	0
icl-1	0	0	22	31	26	34	0	11	1	17	0	0	4	0
gem-4	10	24	4	12	6	15	0	14	0	17	0	4	4	1
ges-1	0	0	1	6	1	4	0	0	0	0	0	0	0	1
gex-2	0	1	0	1	0	0	0	0	0	0	0	0	0	0
gex-3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
gfi-1	2	20	1	3	2	2	1	4	1	2	0	1	0	17
gfi-2	9	5	1	4	3	2	1	2	0	6	0	2	1	0
gld-1	0	0	4	0	11	0	0	0	0	0	0	0	0	0
glh-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gln-3	0	0	5	5	4	3	3	0	4	0	5	3	0	0
gln-6	0	0	1	0	0	0	0	0	0	0	0	0	0	0
glt-1	0	0	0	2	0	2	0	0	0	0	0	0	0	0
gly-3	0	1	3	6	3	1	0	1	0	3	0	0	0	0
gly-4	0	0	5	4	8	2	1	0	0	0	0	0	0	0
gly-5	0	0	11	15	14	6	1	0	0	2	0	0	0	2
gly-7	0	0	2	6	3	3	0	0	0	0	0	0	0	0
gly-8	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gly-10	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gly-13	0	0	1	0	0	0	0	0	0	0	0	0	0	0
goa-1	4	1	14	8	13	7	5	0	4	1	0	6	0	4
gob-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gpa-7	0	0	0	0	0	0	0	0	0	0	1	0	0	0
gpa-11	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gpa-16	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gpb-1	12	5	13	9	10	10	5	1	4	4	2	7	0	14
gpc-2	4	3	3	1	0	1	0	0	0	1	0	0	0	5
gpd-1	0	0	3	0	3	0	0	0	0	0	0	0	0	0
gpd-2	0	0	9	1	7	1	5	0	4	0	2	4	0	0
gpd-3	0	0	12	2	18	1	5	0	5	0	3	6	0	0
gpd-4	0	0	2	0	3	0	0	0	1	0	1	1	0	0
gpn-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
grd-3	2	1	1	0	3	0	1	0	1	0	0	0	0	0
grk-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
grl-15	5	3	3	1	3	0	2	1	2	1	2	2	1	1
grl-25	1	0	0	0	0	0	0	0	0	0	0	0	0	0
gars-1	3	0	10	4	9	3	2	0	6	1	4	2	0	0
gsk-3	0	0	1	0	1	0	0	0	0	0	0	0	0	0
gsp-1	0	0	2	1	2	1	1	0	2	1	0	3	0	0
gsp-2	2	0	1	1	2	0	0	0	0	0	1	0	0	0
gst-1	4	1	12	0	6	0	3	0	2	0	1	1	0	0
gst-4	0	0	3	0	7	1	3	0	4	0	0	3	0	0
gst-5	0	0	7	0	6	1	1	0	1	0	0	0	0	0
gst-6	0	5	0	1	0	1	0	3	0	2	0	0	0	0
gst-7	2	8	10	2	10	1	3	3	3	3	0	3	0	1
gst-10	0	0	1	0	5	0	0	0	0	1	0	0	0	0
gst-13	0	0	2	0	1	0	0	0	0	0	0	1	0	0
gst-20	2	0	2	0	2	0	0	0	0	0	0	0	0	0
gst-24	6	2	6	1	3	1	1	3	1	2	0	4	0	0
gst-26	1	0	3	1	2	1	0	1	0	1	0	1	0	0
gst-27	0	0	6	2	3	2	2	1	3	1	1	3	0	0
gst-28	0	0	0	1	2	1	0	1	1	0	0	1	0	0
gst-36	1	25	5	10	5	14	1	13	3	20	0	3	3	13
gst-42	0	0	4	0	4	0	0	0	1	0	0	0	0	0
gsy-1	0	0	10	3	11	4	0	0	0	2	0	1	0	0
gta-1	0	0	26	5	23	3	4	0	7	0	4	7	0	0
haf-2	1	0	1	1	1	0	0	0	0	0	0	0	0	0
haf-4	0	0	1	3	2	2	0	0	0	0	0	0	0	0
hmt-1	0	0	0	2	0	2	0	1	0	0	0	0	0	0
haf-9	0	0	2	6	1	4	0	0	0	0	0	0	0	0
hch-1	0	0	8	1	8	0	2	0	6	0	5	3	0	0
hcp-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hcp-2	0	0	0	8	0	3	0	1	0	5	0	0	0	0
hda-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hel-1	2	0	4	5	6	5	4	5	1	8	2	5	0	0
hgo-1	0	0	11	17	12	9	2	3	3	3	3	5	3	0
him-4	0	0	7	2	5	1	0	0	0	0	0	0	1	0
his-24	0	3	0	2	1	1	0	2	0	0	0	0	0	0
hmg-1.1	0	0	0	1	2	1	0	2	0	2	0	0	0	0
hmr-1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
hoe-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hpd-1	1	1	33	2	33	1	19	0	16	0	7	25	0	0
hrp-2	0	0	3	5	1	5	0	2	0	2	0	0	0	0
hars-1	3	0	5	6	6	11	3	2	1	4	1	3	0	0
hsp-1	36	40	71	36	76	28	36	24	35	28	23	46	13	32
hsp-3	4	3	14	36	13	36	2	8	1	16	1	4	3	50
hsp-4	1	0	6	25	7	25	0	8	0	13	0	0	2	19
hsp-6	0	0	5	3	2	4	1	1	1	2	2	1	0	0
hsp-25	1	0	1	0	1	0	0	0	0	0	0	1	0	0
hsp-43	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsp-60	0	0	28	52	29	51	15	17	19	32	6	24	15	0
hum-1	6	8	6	10	5	6	0	5	0	7	0	1	1	0
hum-2	1	0	0	0	0	0	0	0	0	0	1	0	0	0
hum-4	0	73	0	31	0	28	0	30	0	35	0	0	8	30
hum-5	8	21	5	15	8	14	0	24	0	21	0	2	5	0
hum-6	0	2	0	0	0	0	0	0	0	0	1	0	0	0
hum-8	1	1	0	0	0	0	0	0	0	1	0	0	0	0
hyl-2	0	0	0	2	0	1	0	0	0	0	0	0	0	0
icd-1	0	0	2	2	1	1	0	2	1	4	0	2	0	0
ida-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ifb-1	0	0	3	1	9	0	0	0	0	0	0	0	0	0
ifc-2	2	0	0	1	0	1	0	0	0	0	0	0	0	0
ife-1	1	0	1	4	1	1	0	1	0	2	0	1	0	0
ife-2	1	0	1	1	1	3	0	1	0	0	0	1	0	0
ife-3	0	0	2	0	1	0	0	0	0	0	0	0	0	0
iff-1	1	0	4	3	2	3	1	3	1	3	0	1	0	0
iff-2	1	2	2	3	2	1	0	1	0	1	0	0	0	0
ifg-1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
ile-1	1	5	18	22	19	21	1	5	0	16	0	6	3	20
ile-2	0	0	4	5	6	3	0	0	0	0	0	1	0	1
ima-1	0	0	2	0	0	1	0	0	0	0	0	1	0	0
ima-2	2	0	1	0	2	0	0	0	0	0	0	0	0	0
ima-3	1	0	3	1	6	0	1	0	1	0	0	3	0	1
imb-1	0	0	4	1	2	1	0	0	0	0	0	0	0	0
imb-3	3	1	37	9	37	6	9	5	8	5	2	9	1	2
xpo-1	0	0	1	2	3	0	0	1	0	0	0	0	0	0
