Species	protein	log(e)2	% (measured)	% (corrected)	unique	total	Mr	upper	lower	1	2	3	4	5	6	7	8	9	10	11	light	heavy	Total
NA	sp|G4SLH0|TTN1_CAEEL	-23.3	0.2	0	3	9	2055.5	NA	NA	2	1	2	1	NA	1	NA	1	1	NA	NA	NA	NA	9
NA	sp|G5EBL3|SDC2_CAEEL	-2.1	0.3	0	1	1	344.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
NA	sp|G5EBM5|SNF5_CAEEL	-104.2	16	35	10	29	81.6	NA	NA	3	3	7	3	NA	1	NA	1	NA	1	1	3	6	29
NA	sp|G5EBN9|SNF3_CAEEL	-4.5	2	5	1	4	67.3	NA	NA	2	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	sp|G5EBV6|PGL3_CAEEL	-66.9	9.8	14	6	16	74.8	NA	NA	2	3	3	3	NA	1	NA	4	NA	NA	NA	NA	NA	16
NA	sp|G5EC21|QUA1_CAEEL	-84.1	7.3	12	7	36	116.8	NA	NA	2	7	2	5	2	8	NA	8	NA	1	1	NA	NA	36
NA	sp|G5EC44|MRT2_CAEEL	-2.4	4.1	7	1	1	29.9	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|G5EC68|ABF2_CAEEL	-31.6	44	69	4	22	8.9	NA	4	1	3	1	3	1	2	1	3	NA	1	NA	1	1	22
NA	sp|G5EC86|MOE1_CAEEL	-12.5	3.7	6	2	2	44.5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2
NA	sp|G5ECM9|CPI2_CAEEL	-43	38	61	5	13	15.7	NA	NA	3	NA	2	NA	NA	NA	2	1	1	1	NA	2	1	13
NA	sp|G5ECN9|NEC2_CAEEL	-24	6	9	3	3	72	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|G5ECU1|SKR1_CAEEL	-26.5	14	20	3	10	20	NA	NA	4	1	2	NA	2	NA	NA	NA	NA	1	NA	NA	NA	10
NA	sp|G5ED41|CAND1_CAEEL	-403.4	36	50	37	101	141.6	NA	NA	13	21	11	21	3	6	3	12	NA	4	2	5	NA	101
NA	sp|G5ED44|FAT5_CAEEL	-53.2	17	35	5	8	38.4	NA	NA	NA	4	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
NA	sp|G5EDM4|NHRF1_CAEEL	-351.7	68	83	26	155	52	12	1	6	16	8	19	NA	16	NA	23	NA	5	7	12	30	155
NA	sp|G5EDP2|NLTP2_CAEEL	-13.8	6.8	9	2	3	44.4	NA	NA	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|G5EDR3|2AB1_CAEEL	-6.4	2.6	5	1	1	57	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|G5EDR5|FUTA_CAEEL	-5	2.1	3	1	1	50	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|G5EDT6|JKK1_CAEEL	-6.1	1.1	2	1	4	50	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4
NA	sp|G5EDZ2|UMPS_CAEEL	-46.6	12	17	5	9	54.8	NA	NA	4	NA	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
NA	sp|G5EDZ9|CPI1_CAEEL	-85.7	53	100+	7	65	15.1	NA	2	14	4	16	3	3	1	4	3	3	3	NA	4	5	65
NA	sp|G5EE56|SRC1_CAEEL	-78.5	18	25	9	23	60.6	2	NA	NA	3	2	2	NA	1	NA	2	NA	1	NA	2	8	23
NA	sp|G5EE72|MRP5_CAEEL	-34.3	3.9	7	4	4	158.6	NA	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	sp|G5EEH9|NUP98_CAEEL	-103.4	8	16	11	25	180.3	NA	NA	10	NA	6	NA	2	NA	3	NA	1	2	NA	1	NA	25
NA	sp|G5EEI4|ASP1_CAEEL	-728.6	71	100+	53	1205	42.7	57	61	117	97	122	111	68	73	93	94	59	83	39	91	40	1205
NA	sp|G5EEM5|ZYG9_CAEEL	-32.9	4.8	7	5	5	156.1	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	2	NA	5
NA	sp|G5EER4|FCL_CAEEL	-28.7	12	14	3	6	35.5	NA	NA	2	NA	1	NA	1	NA	NA	NA	NA	1	NA	1	NA	6
NA	sp|G5EES6|UFD3_CAEEL	-3.8	2.3	4	1	2	93.9	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|G5EET6|EFA6_CAEEL	-15	2.9	4	1	3	90.6	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	3
NA	sp|G5EEU3|AEX1_CAEEL	-2.8	0.7	1	1	1	117.1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|G5EEV2|TRR1_CAEEL	-12.3	0.7	1	2	2	466.6	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|G5EEV9|SID2_CAEEL	-53.4	19	100+	4	58	33.7	1	3	7	6	8	4	1	4	1	4	NA	4	1	8	6	58
NA	sp|G5EF48|FLD1_CAEEL	-2.9	2.9	4	1	1	39.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
NA	sp|G5EF60|STIM1_CAEEL	-23.1	5.1	10	2	4	60	NA	NA	NA	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	sp|G5EF84|GIP2_CAEEL	-2.6	1.4	2	1	1	73.3	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|G5EFD9|ADA10_CAEEL	-116	11	19	12	22	101.5	NA	NA	4	2	3	2	NA	1	NA	3	NA	1	NA	4	2	22
NA	sp|G5EFF7|UBQL_CAEEL	-14.6	5.4	11	2	3	54.1	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|G5EFP5|FUTC_CAEEL	-55.8	21	30	6	21	45.7	NA	NA	4	2	6	3	NA	1	NA	4	NA	NA	NA	1	NA	21
NA	sp|G5EFQ0|GCY18_CAEEL	-2.2	0.9	1	1	1	125.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
NA	sp|G5EFS4|DCPS_CAEEL	-3.5	3.5	5	1	1	36.5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|G5EFT4|AMP1_CAEEL	-37	8	10	4	5	68.2	NA	NA	2	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
NA	sp|G5EFV8|VPS52_CAEEL	-20.7	4.8	6	2	2	80.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2
NA	sp|G5EFZ1|GPMI_CAEEL	-186.8	35	44	16	85	59.2	1	NA	21	2	19	NA	12	NA	12	NA	6	12	NA	NA	NA	85
NA	sp|G5EG11|FAT4_CAEEL	-37.4	11	15	4	9	52.3	NA	NA	NA	4	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
NA	sp|G5EGA5|FAT2_CAEEL	-142.8	28	63	12	39	43.4	NA	2	1	14	1	20	NA	NA	NA	1	NA	NA	NA	NA	NA	39
NA	sp|G5EGH6|FAT7_CAEEL	-44.3	10	23	3	7	39	NA	NA	NA	4	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
NA	sp|G5EGJ5|IDA1_CAEEL	-2.9	1.4	3	1	1	86.7	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|G5EGK8|PP2A_CAEEL	-64.7	21	31	5	15	36.3	NA	NA	3	1	3	1	NA	NA	1	1	2	1	NA	1	1	15
NA	sp|G5EGN2|FAT6_CAEEL	-79	25	49	6	19	39	NA	NA	NA	10	NA	8	NA	NA	NA	1	NA	NA	NA	NA	NA	19
NA	sp|G5EGP8|CATZ1_CAEEL	-74.1	28	38	7	28	34.7	1	5	5	1	6	2	2	NA	2	1	NA	3	NA	NA	NA	28
NA	sp|H1UBK1|MAP2_CAEEL	-13.5	4.5	7	2	3	52.3	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|H2KYE0|NRA4_CAEEL	-333.4	36	41	29	85	121.8	NA	NA	1	28	NA	26	NA	12	NA	18	NA	NA	NA	NA	NA	85
NA	sp|H2L0G5|PTC3_CAEEL	-2.4	1.2	2	1	1	153.2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|H2L0H3|CHAT1_CAEEL	-65	30	62	6	12	38.5	NA	NA	2	2	4	3	NA	NA	NA	NA	NA	NA	NA	NA	1	12
NA	sp|O01422|CSN2_CAEEL	-4.8	2.4	4	1	1	56.7	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O01498|STAM1_CAEEL	-85.9	21	28	7	36	50.8	12	NA	3	3	4	4	NA	NA	NA	2	NA	NA	NA	1	7	36
NA	sp|O01504|RLA2_CAEEL	-108.8	71	100+	8	49	10.8	NA	NA	14	6	13	5	2	NA	3	1	2	3	NA	NA	NA	49
NA	sp|O01530|ASP6_CAEEL	-301.8	40	100+	20	391	41.5	30	46	36	25	42	31	29	9	41	15	17	38	11	12	9	391
NA	sp|O01541|SYAC_CAEEL	-227.2	27	37	22	91	106.7	NA	NA	15	16	18	13	5	5	1	8	1	3	1	4	1	91
NA	sp|O01592|CYSK3_CAEEL	-69.8	24	29	5	26	36.2	NA	NA	5	NA	8	NA	3	NA	5	NA	2	3	NA	NA	NA	26
NA	sp|O01634|INX12_CAEEL	-2.4	2	3	1	1	47.1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O01692|RS17_CAEEL	-144.8	65	100+	12	139	14.9	NA	6	16	22	15	25	7	9	7	11	4	9	3	4	1	139
NA	sp|O01739|OXDD3_CAEEL	-91.8	35	68	8	45	42.5	NA	NA	7	2	9	5	2	4	3	6	NA	2	1	1	3	45
NA	sp|O01761|UNC89_CAEEL	-3.3	0.2	0	1	1	893.7	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1
NA	sp|O01802|RL7_CAEEL	-325.9	65	85	27	345	28.1	NA	14	30	52	30	63	12	41	14	38	6	16	15	7	7	345
NA	sp|O01803|RB11A_CAEEL	-243.1	76	91	18	234	23.4	5	31	16	14	19	15	16	19	10	22	7	17	8	19	16	234
NA	sp|O01805|ACBP1_CAEEL	-22.9	36	65	3	5	9.4	NA	NA	2	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	5
NA	sp|O01812|FABP6_CAEEL	-220.8	82	100+	18	132	15.6	NA	5	16	10	15	7	4	9	8	11	7	11	3	10	16	132
NA	sp|O01814|FABP5_CAEEL	-44.7	37	52	4	8	15.5	NA	NA	3	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	1	1	8
NA	sp|O01824|PDXK_CAEEL	-9.8	5.3	10	1	2	36	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|O01835|CPB3_CAEEL	-2.7	1.1	2	1	1	83.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
NA	sp|O01868|RL24_CAEEL	-123.1	38	87	12	73	17.8	NA	6	7	8	8	11	3	7	3	7	1	2	5	2	3	73
NA	sp|O01925|MBOA5_CAEEL	-75.7	16	34	7	27	54.1	NA	NA	1	10	NA	8	NA	2	NA	3	NA	NA	2	NA	1	27
NA	sp|O01971|EMR1_CAEEL	-4	6	17	1	2	18.1	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|O01974|EIF3H_CAEEL	-42.4	15	21	5	11	40.9	NA	NA	3	2	2	1	NA	NA	NA	1	NA	2	NA	NA	NA	11
NA	sp|O02056|RL4_CAEEL	-530.8	63	92	41	400	38.6	10	19	37	66	34	71	11	43	9	47	5	14	17	7	10	400
NA	sp|O02058|PTPS_CAEEL	-7.2	7.9	11	1	1	16	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O02108|CDC37_CAEEL	-7.7	3.2	5	1	2	42.7	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|O02115|PCNA_CAEEL	-31.1	16	21	4	9	29	NA	NA	5	NA	2	NA	NA	NA	1	1	NA	NA	NA	NA	NA	9
NA	sp|O02328|EIF3C_CAEEL	-198.1	24	36	18	52	103.8	NA	NA	5	17	1	20	NA	5	NA	4	NA	NA	NA	NA	NA	52
NA	sp|O02365|IFA2_CAEEL	-21.9	5.5	7	3	5	67.1	NA	NA	2	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
NA	sp|O02485|YDJ1_CAEEL	-12.8	10	13	2	2	35.6	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2
NA	sp|O02495|SYB1_CAEEL	-193.9	64	100+	13	223	12	2	44	17	12	21	10	13	9	11	10	7	12	4	36	15	223
NA	sp|O02621|GPX1_CAEEL	-3.8	8.6	11	1	2	18.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2
NA	sp|O02626|MADD_CAEEL	-12.3	2.3	4	2	2	157.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2
NA	sp|O02639|RL19_CAEEL	-101.1	34	67	10	80	23.6	NA	3	5	16	5	18	2	10	1	9	NA	3	4	2	2	80
NA	sp|O02640|MDHM_CAEEL	-200.2	61	71	18	112	35.1	NA	NA	8	4	6	7	13	4	15	4	10	22	NA	19	NA	112
NA	sp|O02658|GLC7C_CAEEL	-88.6	29	32	8	17	34.6	NA	NA	2	1	1	4	NA	NA	NA	1	NA	NA	NA	8	NA	17
NA	sp|O16000|STX1A_CAEEL	-157.7	46	61	14	79	33.2	3	4	8	3	12	5	4	2	3	9	1	6	1	11	7	79
NA	sp|O16202|LYS7_CAEEL	-854.3	66	100+	61	1194	30.9	4	34	92	21	98	14	76	14	78	16	44	80	10	434	179	1194
NA	sp|O16259|STIP1_CAEEL	-90.3	29	44	8	22	36.9	NA	NA	7	NA	7	NA	NA	NA	2	NA	NA	6	NA	NA	NA	22
NA	sp|O16264|PEBPH_CAEEL	-7.9	10	12	1	2	24.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2
NA	sp|O16294|GMPR_CAEEL	-67.4	23	32	6	16	38.8	NA	NA	5	2	3	1	1	NA	1	1	NA	1	NA	1	NA	16
NA	sp|O16305|CALM_CAEEL	-30.9	19	29	3	7	16.8	NA	NA	NA	NA	NA	NA	NA	1	NA	2	3	NA	NA	1	NA	7
NA	sp|O16368|PRS4_CAEEL	-179.1	44	64	17	76	49.7	1	NA	7	15	12	17	2	7	1	7	NA	2	2	2	1	76
NA	sp|O16520|ERF1_CAEEL	-62.8	11	15	6	26	66.1	NA	NA	4	3	5	3	1	2	1	4	NA	1	1	1	NA	26
NA	sp|O16580|GLCM1_CAEEL	-182.3	41	53	16	59	58.1	1	NA	11	2	17	1	5	1	4	1	2	5	NA	6	3	59
NA	sp|O16785|PARV_CAEEL	-2.6	3.5	5	1	1	43	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O16883|CPG4_CAEEL	-2.3	1.3	2	1	1	83.5	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1
NA	sp|O16887|YCTG2_CAEEL	-2.1	5	6	1	1	22.4	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O16977|NAS32_CAEEL	-2.4	3.5	6	1	1	72.7	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O17040|HACD_CAEEL	-44.3	18	22	4	17	24.6	NA	NA	NA	6	NA	8	NA	3	NA	NA	NA	NA	NA	NA	NA	17
NA	sp|O17071|PRS10_CAEEL	-216.5	49	67	20	96	45.8	NA	NA	10	20	8	18	2	11	3	14	1	2	4	3	NA	96
NA	sp|O17214|FUMH_CAEEL	-159.1	37	49	14	43	53.6	NA	NA	13	5	12	2	1	NA	3	2	2	3	NA	NA	NA	43
NA	sp|O17271|HEH1_CAEEL	-26.9	18	46	3	9	16.6	NA	NA	2	NA	3	NA	2	NA	2	NA	NA	NA	NA	NA	NA	9
NA	sp|O17397|DIML_CAEEL	-3	2.1	3	1	1	61.4	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O17528|TMED2_CAEEL	-83.7	39	64	8	41	23	NA	6	6	5	5	5	NA	2	NA	5	NA	1	NA	2	4	41
NA	sp|O17570|RL38_CAEEL	-14.2	30	91	2	3	8.1	NA	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|O17586|PSA6_CAEEL	-154.7	52	63	13	108	27	NA	1	NA	18	2	20	6	16	5	14	4	11	9	2	NA	108
NA	sp|O17606|YK4P_CAEEL	-41.2	11	16	5	6	38.4	NA	NA	1	NA	3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	6
NA	sp|O17607|RUVB1_CAEEL	-33.3	11	16	4	6	52.5	NA	NA	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
NA	sp|O17680|METK1_CAEEL	-170.7	43	64	17	84	43.6	1	NA	19	9	18	6	3	4	6	5	3	9	1	NA	NA	84
NA	sp|O17695|HDA1_CAEEL	-3.7	1.7	2	1	1	52.1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O17732|PYC1_CAEEL	-53.8	7.8	9	6	11	129.2	NA	NA	NA	3	NA	6	NA	1	NA	1	NA	NA	NA	NA	NA	11
NA	sp|O17736|ETC1_CAEEL	-3.7	0.5	1	1	1	116.3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O17754|CBPE_CAEEL	-35.5	10	16	4	5	52.2	NA	NA	3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
NA	sp|O17861|YVRI_CAEEL	-105.6	37	50	10	35	30.8	1	11	6	3	8	1	NA	NA	1	1	NA	1	NA	2	NA	35
NA	sp|O17901|COPZ_CAEEL	-21	12	18	2	5	20.7	NA	NA	2	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
NA	sp|O17907|CTG1_CAEEL	-2.8	3.9	5	1	1	43.8	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O17915|RAN_CAEEL	-77.8	37	44	8	42	24.2	NA	1	8	1	5	2	3	1	3	2	7	4	1	3	1	42
NA	sp|O17919|DKC1_CAEEL	-166.2	31	44	14	53	50.2	NA	NA	5	17	5	17	NA	4	NA	5	NA	NA	NA	NA	NA	53
NA	sp|O17953|DLDH_CAEEL	-170.3	42	67	15	52	52.6	NA	NA	13	3	13	4	6	NA	5	NA	1	7	NA	NA	NA	52
NA	sp|O18023|IGDB2_CAEEL	-47.9	3.8	6	5	12	169.6	NA	NA	3	1	4	1	NA	NA	NA	1	NA	NA	NA	1	1	12
NA	sp|O18054|PFD3_CAEEL	-10.7	8.6	12	1	1	20.9	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O18178|2A51_CAEEL	-44.9	10	14	5	12	61.8	NA	NA	3	2	2	2	NA	NA	NA	3	NA	NA	NA	NA	NA	12
NA	sp|O18211|MO25M_CAEEL	-2.3	2.1	3	1	2	39.4	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	sp|O18229|6PGL_CAEEL	-22.6	12	17	3	4	30.4	NA	NA	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	sp|O18650|RS19_CAEEL	-197	68	100	16	178	16.3	NA	16	20	23	20	26	12	10	6	15	5	9	5	7	4	178
NA	sp|O44156|PSA1_CAEEL	-171.5	64	76	13	84	28.3	NA	NA	1	13	1	20	6	6	4	20	1	6	4	2	NA	84
NA	sp|O44400|F37C4_CAEEL	-562.1	71	100+	44	447	61.4	4	NA	14	53	16	64	37	41	33	50	27	47	27	24	10	447
NA	sp|O44411|NOG1_CAEEL	-19.7	3.1	4	2	3	78.4	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	sp|O44443|YC2BA_CAEEL	-22.2	12	20	3	3	27.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	3
NA	sp|O44451|ODPB_CAEEL	-75.4	25	39	7	19	38.1	NA	NA	8	NA	8	1	NA	NA	NA	1	NA	NA	NA	1	NA	19
NA	sp|O44476|RNZ_CAEEL	-3.4	1.4	2	1	1	93.8	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O44480|RL18A_CAEEL	-191.8	60	97	17	191	20.9	2	14	16	29	16	31	10	18	8	20	3	10	6	6	2	191
NA	sp|O44518|CYFIP_CAEEL	-13	1.3	2	2	2	144.9	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2
NA	sp|O44665|NLP28_CAEEL	-2.5	14	26	1	4	6.9	NA	NA	NA	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	sp|O44750|XPP_CAEEL	-169.1	32	39	15	54	69.3	NA	NA	16	2	13	NA	7	NA	7	NA	1	7	NA	1	NA	54
NA	sp|O44827|FGT1_CAEEL	-51.1	13	24	6	18	55	NA	NA	3	5	3	3	NA	1	NA	2	NA	NA	NA	NA	1	18
NA	sp|O44857|NEPL2_CAEEL	-73.9	11	17	7	14	85.4	NA	NA	4	2	4	1	NA	NA	1	NA	NA	NA	NA	1	1	14
NA	sp|O44953|SPCS1_CAEEL	-31.5	37	91	3	7	11.8	NA	NA	NA	3	NA	2	NA	1	NA	1	NA	NA	NA	NA	NA	7
NA	sp|O45166|FOLT2_CAEEL	-73.2	13	33	6	38	48.9	1	NA	1	12	1	10	NA	2	NA	5	NA	NA	NA	NA	6	38
NA	sp|O45218|ADAS_CAEEL	-3.5	2.2	3	1	1	66.5	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O45293|GALT8_CAEEL	-2.9	2.4	3	1	1	48.3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O45405|EXL1_CAEEL	-37.6	18	26	3	4	27.5	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	2	4
NA	sp|O45495|UB2V1_CAEEL	-2.1	6.5	12	1	1	15.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
NA	sp|O45499|RS26_CAEEL	-54	47	100+	6	44	13.2	NA	3	4	6	5	7	1	4	1	4	1	3	3	NA	2	44
NA	sp|O45551|IF4E1_CAEEL	-25.1	11	14	2	12	24.3	NA	NA	1	4	1	1	NA	1	NA	2	NA	1	NA	1	NA	12
NA	sp|O45599|CBD1_CAEEL	-151.4	12	23	14	64	144.1	11	NA	6	10	11	4	2	7	NA	6	NA	2	NA	1	4	64
NA	sp|O45679|CYSK2_CAEEL	-132.7	49	59	13	31	36.1	NA	NA	9	NA	13	1	3	NA	3	NA	NA	2	NA	NA	NA	31
NA	sp|O45686|ASAH1_CAEEL	-96.6	24	30	9	55	44.8	NA	NA	8	9	8	7	2	4	4	3	1	5	2	2	NA	55
NA	sp|O45734|CPL1_CAEEL	-182.3	48	74	15	89	38.1	3	10	11	9	18	10	2	4	4	4	2	4	3	3	2	89
NA	sp|O45944|U375F_CAEEL	-7	9.7	14	1	3	13.5	NA	NA	1	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	3
NA	sp|O45946|RL18_CAEEL	-232.9	62	98	21	231	21	NA	5	32	33	37	33	9	16	9	18	6	12	11	6	4	231
NA	sp|O45947|GLT10_CAEEL	-2.5	1.3	2	1	1	78.9	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	sp|O61199|ODO1_CAEEL	-109.8	15	26	11	27	115.6	NA	NA	9	7	7	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	27
NA	sp|O61213|DUOX1_CAEEL	-696.1	44	71	56	244	170.3	NA	NA	6	33	12	20	1	43	NA	51	NA	4	16	12	46	244
NA	sp|O61235|CATA2_CAEEL	-222.9	43	53	19	104	57.3	NA	NA	21	24	16	22	5	2	5	3	NA	4	NA	NA	2	104
NA	sp|O61397|GALT7_CAEEL	-48.6	16	19	5	14	68.1	NA	NA	2	6	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	14
NA	sp|O61742|PSMD4_CAEEL	-13.1	7.2	14	2	2	37.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	2
NA	sp|O61749|SRP19_CAEEL	-33.8	44	64	3	5	15.9	NA	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	NA	1	NA	5
