Gene_name	Length
lin-18	583
sel-5	1077
sid-3	1237
sid-5	67
srb-11	346
sqt-1	324
sma-4	570
sma-10	881
spt-4	120
C08B11.3	1244
ham-3	446
tbx-11	322
cct-2	529
samp-1	588
rbx-1	110
rae-1	373
rom-2	435
rgs-10	270
rpl-12	165
srd-50	337
srg-69	342
set-4	288
T24H10.1	308
tra-2	1475
nhr-89	310
npp-15	1129
pat-3	809
plk-3	615
pno-1	277
pros-1	594
pam-1	948
prde-1	526
F54C8.4	359
pyc-1	1175
ced-10	191
ran-2	960
rpl-3	401
mrpl-23	159
rle-1	952
rps-19	146
rps-14	152
psmd-9	197
spr-1	558
rba-1	412
rfs-1	245
ric-3	378
rla-0	312
C37A2.7	107
rsp-4	196
spcs-1	105
ssp-19	109
srv-1	308
cct-3	543
crn-7	367
rpl-31	122
rps-28	65
rps-5	210
snr-5	85
sdha-1	646
set-25	714
scc-3	1096
spdl-1	479
spcs-3	180
snb-5	102
smg-1	2322
srd-33	342
sre-45	369
lex-1	1291
kars-1	572
cdc-48.1	809
tdo-2	403
cct-6	539
snt-2	369
Y71F9B.2	321
smf-3	560
nhr-121	461
jmjc-1	748
nhr-62	515
nhr-42	356
aph-2	723
pdi-2	493
pgam-5	284
pmk-2	419
egl-8	1431
acl-1	262
plc-1	1898
ruvb-1	476
sti-1	320
srx-43	319
arf-1.2	181
ndx-4	138
cmd-1	149
cdkr-3	489
cyy-1	357
clec-162	313
tax-4	733
cpg-9	69
cpg-4	782
csp-1	536
csc-1	249
col-80	317
daf-36	428
Y73F4A.1	182
sdhd-1	145
R151.6	237
cup-2	245
par-5	248
catp-5	1203
ced-9	280
ceeh-1	404
cep-1	644
cnp-3	533
cpb-2	570
coq-6	451
col-14	345
cyn-6	201
F25B5.3	376
alh-9	531
apr-1	1188
cab-1	425
cec-4	270
mat-1	788
chat-1	348
ckb-3	368
ckb-1	371
col-145	294
cogc-6	642
crn-4	298
unc-101	422
apn-1	396
mai-2	109
best-22	499
cdk-8	588
cnt-1	826
cla-1	8922
cnnm-3	797
cin-4	842
cnp-2	732
copg-1	870
ctr-9	1150
aco-2	777
acc-2	445
apc-2	731
lap-1	491
ced-8	458
cfi-1	467
coq-4	231
cogc-4	801
air-2	305
best-6	382
bath-43	451
ceh-44	621
cdh-3	3343
cgt-2	443
cht-3	1067
cdkl-1	353
cfap-36	685
cpg-1	584
unc-63	502
blos-4	106
cyp-13A2	515
cam-1	928
cyd-1	405
F55A11.4	588
bec-1	375
best-13	413
chup-1	756
cit-1.2	555
C54C6.6	203
ckb-2	369
clpp-1	221
cpx-1	143
acc-1	466
acp-1	426
abf-1	85
aat-6	523
atm-1	2378
bli-5	202
B0507.2	427
rfp-1	837
bre-4	383
best-14	405
cap-1	282
egl-21	472
chch-3	169
dpy-28	1499
K02F3.2	716
pamn-1	663
aqp-10	280
aptf-1	365
atp-6	199
bet-1	853
blmp-1	817
cbp-1	2017
mat-3	673
clec-91	225
cts-1	468
acc-4	408
acdh-10	417
acly-1	1106
ltah-1.1	609
adbp-1	217
aex-4	234
best-5	453
bed-3	599
bath-15	273
cyp-13B1	510
bre-3	455
cyp-13A1	519
cyp-13A4	520
best-17	501
che-13	412
acox-1.5	659
flp-24	69
gcy-19	1182
gcy-36	675
gcy-21	1119
gpa-1	357
his-70	134
nst-1	556
hmit-1.1	606
iglr-2	773
ins-17	108
jac-1	1254
klp-20	646
M01F1.3	354
Y54E10A.11	1446
lys-2	279
let-19	2862
mec-3	321
mom-2	362
T19B4.3	185
aph-1	308
atx-2	959
frk-1	390
gad-1	620
memb-1	213
mcp-1	482
hgo-1	437
hrde-2	305
hrpk-1	397
hlh-3	170
C05D9.3	423
inx-7	556
kin-15	488
lin-61	612
dpy-22	3498
mboa-6	473
mtm-5	1744
nas-20	379
nas-38	745
nas-32	651
arrd-15	374
asg-2	131
emb-30	1027
epg-5	1599
eif-3.K	240
erg-28	162
erd-2.1	213
C47E8.4	326
feh-1	665
R09B5.11	516
fut-5	378
gpcp-2	796
gpcp-1	690
ceh-39	399
ceh-9	147
eif-2beta	250
mif-3	146
mtm-6	676
ace-1	620
C50D2.7	502
ani-3	709
nkb-1	320
dyf-7	446
fndc-1	138
fos-1	467
fzo-1	774
F08A8.5	402
gld-2	1113
ggtb-1	335
eas-1	141
gly-2	669
glr-1	962
bre-1	399
his-72	136
tbc-6	330
hil-5	225
hrg-7	428
hsp-16.48	143
ifd-2	443
acdh-6	408
inx-8	382
E02H1.6	182
mec-15	406
maph-9	512
mig-10	779
cblc-1	272
mlc-1	170
mnm-2	249
zmp-2	519
msp-3	127
asm-3	589
gpa-16	357
glb-9	249
glod-4	281
gcs-1	654
gst-36	210
F54C8.1	298
zyg-12	777
hrg-4	184
hrde-4	545
mua-6	581
ift-43	200
F13B12.1	511
ZC434.8	360
jun-1	319
kup-1	385
C14B9.8	1226
mlk-1	1059
msp-10	127
acr-16	498
algn-8	766
glt-4	499
ZK856.11	175
eya-1	503
exos-4.1	240
flp-7	177
fkh-5	461
flp-19	89
gly-7	601
fum-1	501
gcy-15	1115
gcy-29	1034
mel-32	507
B0272.3	309
ceh-19	199
rskn-1	784
klp-3	598
lge-1	631
C52E4.5	590
tag-72	380
mag-1	152
akap-1	867
aho-3	332
atg-4.1	481
dre-1	936
efa-6	818
elpc-3	547
B0495.7	895
fat-5	333
fat-7	338
fce-1	442
gcy-14	1111
gba-1	523
htz-1	140
ceh-6	380
ceh-23	305
ifc-2	622
ins-11	91
ksr-1	771
knl-1	1010
rod-1	2049
rbr-2	1477
kcc-3	1070
F42H10.3	335
lin-15A	719
Y45G12B.3	433
unc-43	720
Y48A6B.9	346
madd-3	887
mig-17	509
mbk-2	817
alh-8	523
metr-1	1249
unc-29	493
aldo-1	366
abhd-5.1	355
lem-3	704
catp-8	1178
sdf-9	345
endu-1	307
eif-3.E	432
eif-2Bgamma	404
eri-1	582
egg-6	961
fce-2	266
fbl-1	728
flp-18	208
flp-26	84
gly-8	421
gcy-23	1073
F54D5.7	409
gsp-4	305
gba-2	516
gpa-9	374
pigk-1	319
his-74	136
T03F6.3	267
ceh-12	180
ifb-2	543
igdb-2	1526
kin-2	366
itr-1	2892
lec-8	180
mbl-1	324
gar-3	611
sup-17	922
mat-2	1505
fat-4	447
fip-1	63
gcy-7	1111
glit-1	730
hpk-1	846
hrg-5	160
hsp-16.1	145
ceh-22	346
ttx-7	285
ifc-1	500
ifp-1	776
ife-1	212
inx-5	447
unc-116	815
pkc-3	597
adal-1	388
mask-1	2620
atg-18	412
eak-6	405
dhc-1	4568
dpf-2	829
ech-6	288
C27A7.1	829
erl-1	312
fat-6	339
fem-3	388
gbb-2	842
gadr-3	710
gcy-2	1118
gcy-20	1108
mgl-1	999
gei-13	691
gkow-1	462
glc-1	461
F32D1.5	358
his-71	136
hil-4	253
inx-11	465
C29F7.3	191
K04F10.2	568
lipl-5	403
haao-1	281
apc-10	212
amx-1	824
F44B9.5	390
atp-2	538
gln-2	367
gcy-28	1276
gsp-3	305
gpa-2	356
gpa-8	364
gpx-3	224
gpx-1	163
gop-2	355
gmps-1	745
hecd-1	2648
her-1	175
hpx-2	718
ins-7	105
lfe-2	494
pyp-1	427
lst-4	566
lon-1	312
mcm-6	810
mdh-2	341
mkk-4	363
miro-1	625
micu-1	534
msp-33	127
mpc-2	133
mogs-1	796
mom-5	570
moe-3	367
mtss-1	170
nas-33	644
nas-14	503
F59B2.3	418
ndc-80	590
ncbp-2	158
F10C2.4	1081
drl-1	589
epg-2	690
epi-1	3672
rib-1	382
fgt-1	510
gpd-1	341
glh-3	720
gpa-11	363
gpa-15	356
gon-1	2150
ipgm-1	539
gna-1	165
hil-1	232
hira-1	935
ipp-5	409
hlh-13	147
mlc-2	170
cdc-25.2	480
mxt-1	507
sop-3	1475
K10B4.3	871
memo-1	350
paf-2	388
pdxk-1	321
pid-1	169
psd-1	377
pho-5	422
rde-11	316
ric-19	430
rgs-11	274
rig-6	1196
lin-12	1429
lin-14	539
nas-5	360
nas-22	367
myrf-2	1009
nhr-12	453
nhr-28	437
nhr-167	343
nhr-47	579
nlp-31	75
nlp-33	74
nph-1	682
pbo-5	509
bbs-9	744
clr-1	1409
ptr-9	844
ptrn-1	1112
ptc-3	1367
rde-12	959
rab-11.1	211
rom-1	356
rpl-17	187
sel-2	2507
nhr-218	391
R05G6.4	310
npr-15	345
nhr-61	412
nhr-54	422
nhr-3	463
orai-1	293
osgl-1	421
pat-12	663
pde-6	760
pde-3	678
pak-1	572
psf-1	201
sel-12	444
rpl-16	202
lec-7	179
lrk-1	2393
let-49	251
mdt-30	466
map-2	468
mab-5	200
cel-1	623
lep-2	413
zmp-3	579
mett-10	479
mix-1	1244
moma-1	201
morc-1	845
nlp-36	82
ntc-1	103
pbs-5	284
pfd-5	152
saps-1	778
pqn-25	672
plpp-1.2	341
pry-1	586
prdx-2	201
ptp-2	668
puf-5	553
rpl-7	244
W09C3.4	296
glo-4	1386
kbrl-1	199
let-767	316
ldp-1	426
mspn-1	342
msp-32	190
mog-1	1131
C01G10.9	366
mtx-2	230
nas-17	429
unc-54	1963
nac-2	551
F53F4.10	239
nhr-25	572
nrde-2	1270
nhr-31	583
nhr-97	439
ndx-9	374
ndfl-4	77
pdk-1	636
pde-4	674
C14B9.2	618
pah-1	457
mom-1	442
pph-4.1	333
pbs-4	199
rpn-10	346
pxn-2	1328
rpa-1	655
rhy-1	502
lin-36	962
kvs-4	503
lys-3	301
lsm-4	123
mdt-28	202
mdt-1.2	522
nhr-197	340
daf-22	412
nlp-11	134
osta-3	348
pan-1	594
par-6	309
picc-1	535
pcp-5	507
pgp-3	1268
wee-1.3	677
F09E5.8	244
puf-7	485
riok-2	529
lys-7	283
C47G2.4	644
mlt-7	724
mut-7	910
nas-1	270
nas-2	293
nep-1	754
Y48A6B.3	163
anmt-1	273
nhr-124	376
nfki-1	611
smf-2	546
nduo-5	527
ola-1	395
odr-10	339
odd-1	242
pad-1	2417
pfd-3	185
pph-5	496
tax-6	542
pas-6	260
rpl-10	214
rpl-35	123
rpl-36	104
arl-5	178
knl-2	877
lec-3	297
ptp-3	2200
pig-1	706
mek-2	387
mdt-20	198
mig-23	552
met-2	1304
gly-13	449
myo-2	1947
Y55D5A.3	355
nrf-5	551
osg-1	1182
pdhk-2	401
rpn-7	410
mrps-18C	403
acr-23	545
unc-60	212
asic-2	545
asm-1	564
gpd-2	341
exp-1	539
gos-28	234
glo-3	179
his-41	123
hecw-1	1247
ZK1236.1	645
gst-3	207
hrg-1	194
idha-1	358
immt-1	679
ifa-3	581
ilys-6	138
ins-23	76
ins-4	106
inx-2	419
irx-1	377
tpa-1	704
lin-5	821
lin-49	1042
sams-1	403
nas-28	497
oxy-4	457
D2030.4	123
nhr-13	425
nduf-7	199
sel-8	490
lipl-1	405
mina-1	393
mlc-5	142
mnp-1	781
mpk-1	444
mop-25.2	338
msp-152	127
nas-36	617
npr-18	498
nhx-3	670
nhr-91	474
nhr-40	450
tyra-2	468
pigv-1	672
pik-1	485
pgl-2	532
retr-1	517
algn-11	470
asna-1	342
lgc-4	635
mdt-4	334
misc-1	306
mig-13	362
mppb-1	458
nas-3	292
ncx-9	651
R107.2	307
nmt-1	450
nfyc-1	232
C37H5.5	778
nlt-1	118
nhr-60	443
nhr-98	433
nduo-6	144
osm-3	699
pfn-2	131
ptp-4	1159
pfas-1	1324
W03F8.3	389
unc-10	1563
glna-2	605
his-2	136
hda-2	507
hcp-3	288
gsto-1	250
him-14	842
kin-29	822
lin-31	237
let-418	1829
mre-11	728
mxl-3	235
Y39A1A.14	231
nfyb-1	403
nipi-4	396
nlp-7	121
nep-11	848
nhx-2	644
npp-14	1390
oig-1	137
C15C7.7	389
osm-8	331
pgl-1	730
unc-60	152
acr-2	575
leo-1	430
sur-2	1587
mak-1	521
mep-1	870
nas-27	428
nhr-11	459
npp-24	655
nprl-3	511
nep-21	769
nlp-1	176
nlp-38	120
lit-1	634
him-10	490
nduo-1	291
ntr-1	379
ZK370.4	1353
pfn-3	126
tgt-2	373
rfth-1	522
rho-1	192
lin-39	253
lin-9	644
lact-2	473
lys-5	215
sams-4	404
mex-5	468
moa-2	87
Y67D2.5	202
npp-22	588
nep-2	736
gei-8	1778
nop-1	759
nhr-115	391
nhr-213	414
nlp-40	123
nhr-5	672
nhr-79	463
nhr-64	369
nhx-9	667
ran-4	133
T05H10.6	397
paxt-1	335
pfd-2	141
pas-2	231
daf-18	962
pyr-1	2198
ZK262.3	353
gst-42	214
mif-2	120
msp-49	127
mua-3	3767
nas-24	396
nhr-217	383
nfx-1	1119
npr-8	490
nhr-69	373
nduo-3	111
pak-2	522
rpt-2	443
puf-12	766
rab-28	248
rac-2	195
arrd-17	426
ikke-1	820
let-756	425
lnp-1	342
lrp-1	4753
lon-8	162
mdt-22	157
maco-1	897
mab-3	290
mrp-5	1427
T18D3.9	181
K10D2.7	84
mom-4	536
mrt-2	267
mtm-1	588
cnd-1	192
nhr-20	457
nol-56	486
plk-2	632
prp-19	492
prmt-7	647
inf-1	402
inx-3	420
inx-17	362
F47F2.1	398
oma-1	407
mmcm-1	744
T01D1.4	159
nas-4	315
nhr-51	371
nhr-55	424
nhr-57	374
npl-4.1	529
oig-4	155
pha-4	506
aex-2	321
kmo-1	461
lin-3	438
egl-36	558
let-413	699
ldb-1	592
lin-15B	1440
Y43F4A.1	663
mig-39	943
mlc-4	172
B0228.7	288
mtl-1	75
nas-16	451
ndx-3	240
nhr-136	435
nfya-2	281
npr-22	434
npr-11	402
nrde-3	1057
nlp-29	73
nhr-53	364
pqn-85	2203
nduo-2	282
rsa-1	404
nxf-1	628
dlat-1	507
osta-2	342
F08C6.2	362
pin-2	330
pgk-1	417
unc-11	586
pcm-1	225
pat-2	1226
F40A3.3	221
rpn-6.2	416
pas-1	246
pptr-1	542
add-1	732
arl-13	370
gst-7	206
sel-11	610
hsp-6	657
unc-39	335
hmit-1.3	604
ceh-24	299
ceh-30	237
ceh-31	260
ina-1	1139
ins-3	107
jmjd-2	922
larp-1	1150
lgg-2	130
lonp-2	773
rgr-1	1516
mdt-11	188
mcm-5	759
mmaa-1	399
F54A3.5	105
ZK632.4	416
myo-1	1938
acn-1	906
actl-1	360
asg-1	131
R07E5.1	812
hpo-8	218
hyls-1	274
ceh-13	202
ins-5	100
ima-1	524
F38B2.4	210
pkc-2	682
lmtr-2	124
mtl-2	63
nas-9	546
nhr-22	579
nekl-3	302
nhr-16	388
nhr-174	319
spg-7	782
gpdh-2	392
his-69	127
his-4	123
cpar-1	261
C34C12.8	237
gstk-1	226
toe-1	1650
hlh-4	205
ceh-40	329
dyf-6	471
ape-1	769
isy-1	267
lin-53	417
syd-2	1139
lim-7	452
lgg-1	123
lam-2	1633
C25G4.2	221
mec-4	768
mel-28	1784
mac-1	813
mig-15	1096
mlc-3	153
mpdu-1	242
F44E2.6	152
mtm-9	569
mup-4	2104
W02F12.2	272
adm-4	686
ash-2	570
glr-2	977
gur-3	447
gst-10	210
hizr-1	413
hyl-1	368
hmg-5	204
immt-2	654
jhdm-1	1076
kin-20	497
lite-1	439
mnk-1	707
mes-3	754
mes-6	459
msp-55	127
moag-4	82
mppe-1	365
mtx-1	312
nas-37	765
nas-10	560
nepr-1	140
nhr-10	395
nhr-111	311
nhr-164	389
nft-1	440
apc-11	135
K10B2.4	113
hse-5	616
R11F4.1	502
henn-1	442
ilcr-1	846
ife-2	228
ife-4	212
inx-12	408
irk-1	544
lid-1	360
flu-2	478
mab-7	287
aex-3	1409
mes-4	898
msp-77	127
msrp-7	120
msh-5	1369
nas-8	403
ndx-8	234
ndx-6	260
ned-8	77
parn-1	566
abhd-3.2	375
paa-1	590
eat-2	474
ari-2	482
dyc-1	887
gly-6	618
gld-3	969
gcy-31	702
gcy-32	684
gcy-34	686
gsp-2	333
gpa-14	408
gop-1	892
gei-17	780
gly-11	605
ZK697.8	136
daf-21	702
hpd-1	393
hpr-9	521
ceh-32	439
rsks-1	550
kel-8	690
kin-16	495
lin-23	665
lin-28	227
laat-1	311
msp-63	127
mttu-1	375
nas-12	384
nas-7	382
ncx-7	672
ncs-2	190
dao-5	971
nfya-1	482
nhr-4	492
nhr-1	445
npp-10	1678
odr-4	475
bckd-1A	431
paqr-1	434
ani-2	1009
dyb-1	590
sec-3	848
fic-1	508
crn-1	382
fld-1	350
gcy-37	708
hif-1	719
hrg-6	161
hmp-1	927
ceh-33	261
ceh-20	338
ceh-16	187
jnk-1	463
Y53F4B.39	295
mec-10	724
mdt-10	173
mcu-1	333
F02A9.10	608
hphd-1	465
ceh-2	209
ceh-38	641
rskn-2	772
lev-9	622
lgc-50	491
W09H1.5	344
mig-5	672
mig-38	1607
zmp-1	521
mop-25.3	339
mog-5	1200
nas-6	344
nas-19	396
nekl-2	357
ZK1128.1	426
nhr-130	440
nhr-133	406
nog-1	681
nhr-34	631
oct-1	585
gar-1	713
alh-13	802
gmd-2	382
hrdl-1	564
ceh-34	256
ima-2	531
lin-11	405
lin-13	2248
lcmt-1	333
lnkn-1	599
mdt-31	163
npp-5	813
nhr-9	332
nubp-1	313
nxt-1	137
F55G1.9	299
ddo-3	383
parg-1	781
anc-1	8545
haly-1	677
hyl-2	329
ceh-10	344
jmjd-3.1	1061
jkk-1	435
dtmk-1	218
let-99	698
lagr-1	360
lys-1	298
mab-21	364
nas-39	951
toh-1	414
C33A12.1	150
smf-1	562
Y94H6A.8	146
nhr-103	394
T27F6.6	434
ccdc-55	392
nduo-4	409
ddo-1	334
F33H2.3	229
asah-1	393
C05D11.5	262
hmgs-1	462
hlh-6	268
ceh-37	278
ceh-8	276
hmit-1.2	613
ifa-1	575
inx-10	559
ire-1	967
lin-45	813
ksr-2	550
lin-54	435
lin-2	961
lir-3	284
lonp-1	971
lis-1	404
mdt-8	297
mbk-1	882
mdmh-35	103
mocs-1	709
mthf-1	663
nas-15	571
pept-3	701
pfk-1.2	756
ppm-2	356
pqn-96	206
ilc-17.1	221
ifet-1	761
ins-6	112
let-754	251
lin-44	348
manf-1	168
lat-1	1014
mboa-7	453
oma-2	393
nas-29	532
hch-1	605
ncbp-1	798
nsy-1	1498
pdi-1	485
phb-1	275
lin-42	597
pph-6	331
F52B11.2	254
pqn-8	401
piki-1	1607
acdh-11	617
deg-3	564
act-3	376
arf-1.1	179
prmt-1	348
ckk-1	541
lin-25	1139
lin-8	386
mec-6	377
mek-1	347
mcd-1	901
mbtr-1	564
mig-18	228
sams-3	404
F45G2.9	214
mrck-1	1592
cdc-25.1	604
mps-4	91
myrf-1	931
nhr-23	588
nhr-35	542
nrf-6	822
ogdh-1	1029
pghm-1	324
pkd-2	716
pink-1	641
pes-10	407
pho-11	413
pgp-1	1321
ppfr-1	1562
ftt-2	248
adt-2	1020
apy-1	355
kbp-3	134
lury-1	89
mdt-15	780
C33G3.4	900
mfap-1	466
msp-38	127
mtr-4	1026
nas-23	537
F57B9.1	226
pch-2	424
lov-1	3284
pph-4.2	321
gst-4	207
Y51H4A.7	670
irg-7	2217
kin-32	867
let-653	812
mdt-29	441
mak-2	366
msp-78	127
mpc-1	137
mppa-1	514
mtcu-2	638
old-1	502
Y52B11A.8	174
daao-1	322
Y39A1A.21	190
adt-1	1461
allo-1	402
lgg-3	118
kgb-1	390
jmjd-1.2	910
lin-10	982
lmp-1	237
mec-2	481
mdt-19	199
mes-1	966
mics-1	269
mapk-15	470
Y53F4B.13	918
mtp-18	166
nas-18	410
nac-1	582
noca-1	922
nhr-77	362
nlp-32	105
nsf-1	824
pcca-1	724
arl-6	190
asd-2	445
asp-1	396
gsy-1	672
ilys-3	139
ida-1	767
ZK673.2	222
K05C4.2	189
maph-1.1	878
mex-6	467
moc-3	402
nas-25	399
nra-4	1123
tag-131	326
nipi-3	655
pdi-6	440
prx-12	359
aldo-2	366
klc-2	540
lin-59	1312
lipl-4	411
mdt-21	130
mbr-1	433
mig-21	306
mes-2	773
nath-10	1043
nol-9	549
R06C7.6	184
ostb-1	445
pde-1	664
prx-13	330
pgal-1	350
wee-1.1	468
atg-4.2	521
his-1	103
ham-2	392
ceh-18	542
ifd-1	575
daf-10	1192
kin-1	404
daf-2	1846
kel-10	579
lin-41	1147
lab-1	161
hlb-1	1004
mdt-6	250
mcm-4	823
lat-2	1338
Y106G6E.4	206
ncx-6	590
cra-1	958
nra-2	563
F44G4.2	160
nhr-154	469
nhr-49	501
Y39B6A.33	438
num-1	593
pie-1	335
pept-1	835
hex-1	555
ima-3	514
kin-19	341
lag-2	402
lon-3	324
lipl-3	404
mdt-17	667
mel-26	395
madd-4	1045
mfn-1	312
ZC373.5	263
icd-2	195
hst-1	852
nduf-6	140
ndx-2	223
nra-1	634
png-1	606
nhr-169	356
nhr-127	355
nhr-100	437
nlp-28	65
nhr-8	560
nsy-7	294
ZK686.3	340
C42C1.13	206
Y62E10A.11	98
nas-30	685
gas-1	482
npr-29	395
nhr-6	619
prx-10	314
phlp-2	1126
plk-1	649
psf-2	180
C24G6.8	316
rab-6.1	205
rgs-5	492
rpl-43	91
rpl-37	91
rpl-39	51
mrpl-32	183
ahcy-1	437
sax-1	476
mrps-5	436
mtm-3	1006
mtrr-1	682
nola-3	64
nhr-125	399
nrfl-1	467
nsun-5	439
par-3	1379
pmk-3	474
pbs-6	258
adss-1	457
rpl-25.2	146
rfc-4	334
mrpl-19	288
rps-7	194
ncs-1	191
ncl-1	851
osm-1	1737
parg-2	485
pbo-6	422
polk-1	596
pbs-3	204
pas-3	250
qua-1	1169
K02F3.12	631
rbg-2	1307
rer-1	191
rpl-22	130
rpl-23	140
rpl-36.A	105
mrpl-49	187
rps-13	151
rsp-2	281
sdc-3	2150
sra-31	338
spas-1	512
srb-8	351
spe-8	512
snf-3	600
srd-19	339
unc-15	872
T20H4.5	212
nhr-106	382
pgl-3	693
Y105C5B.9	288
nprt-1	562
rab-10	201
rei-2	431
mrpl-11	195
rpm-1	3766
rps-17	130
rps-26	117
rps-15	151
F08B4.7	142
sel-10	587
nas-11	579
osta-1	384
pdfr-1	546
pqn-41	2049
plp-1	226
prp-8	2329
F31D4.5	570
pro-1	529
ptp-1	1026
F55F8.3	910
rei-1	244
rpi-1	450
rop-1	643
ndx-7	295
nhr-14	435
nhr-134	407
nhr-150	342
nhr-44	428
nhr-65	401
nurf-1	2194
nhr-19	477
phm-2	1073
ZK353.9	208
pelo-1	381
acl-6	718
pop-1	438
pcbd-1	142
rpl-25.1	147
rsef-1	656
ric-8	566
rpl-38	70
rpia-1	251
rnf-5	235
lin-52	161
let-60	184
sams-5	404
mon-2	1646
K07E1.1	158
parp-1	945
pde-2	831
pfd-6	126
cyn-4	523
pot-1	400
pmk-1	377
M110.7	1095
rpl-18	188
F47G9.4	822
rme-6	1093
mrpl-44	394
rpap-2	455
ama-1	1856
rpb-11	122
epac-1	1038
rol-3	2481
dis-3	961
lgc-46	508
spr-5	770
mei-2	280
max-2	646
F01G4.6	340
cdc-25.3	316
egl-3	652
pro-2	715
nhr-85	514
nhr-86	407
cps-6	308
prx-19	282
B0024.13	309
acl-2	282
plr-1	487
npp-19	381
pcp-1	565
patr-1	833
pbo-4	783
pdl-1	159
pfd-4	126
pcs-1	426
pho-1	449
ppfr-4	327
ppm-1.G	491
rab-33	307
rec-8	781
R06F6.8	1470
rgs-1	201
rpac-19	144
ostd-1	280
rps-12	140
mrps-25	170
snr-7	77
sart-3	836
rtcb-1	505
smp-1	712
C05C10.3	521
lin-32	142
lin-35	961
lido-16	267
ldh-1	333
mdt-18	232
msp-19	127
moc-5	600
nas-31	611
hlh-1	324
nhr-268	340
Y18D10A.3	235
npl-4.2	529
ncr-1	1383
dat-1	615
ntp-1	543
ogt-1	1151
arx-1	425
elpc-4	334
efr-3	859
fahd-1	214
erh-1	103
fbxa-155	408
ets-4	437
fip-3	50
flp-16	92
C29E4.10	645
gbas-1	758
gst-1	208
hst-2	324
T22D1.3	534
ifb-1	589
ify-1	244
cil-1	398
unc-16	1190
kle-2	821
vab-8	1066
lem-2	500
let-23	1323
lst-2	661
lmn-1	566
C35D10.17	102
cnnm-1	811
col-12	316
cysl-1	341
cul-6	729
cup-15	322
Y73F4A.2	168
dnj-20	355
dpy-20	440
fib-1	352
fbf-2	632
folt-2	424
gpa-13	348
hsp-3	661
hsp-12.2	110
hsp-16.41	143
hmr-1	2920
ilys-2	139
eif-6	246
iff-1	161
irld-34	397
sup-18	325
pkc-1	707
daf-9	572
dhs-5	378
fsn-1	332
fox-1	429
ZK1058.3	352
gcy-12	1679
gcc-2	660
gpa-12	355
gyg-1	429
pat-4	466
ife-3	251
inx-14	434
lin-26	490
lec-1	279
T23D8.3	410
dnc-6	180
