ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Gene_name
cel00510	N-Glycan biosynthesis	5/104	17/981	0.026631922683989263	0.10652769073595705	0.0784940879107052	CELE_T22D1.4/CELE_T09A5.11/CELE_M01A10.3/CELE_Y66H1A.2/CELE_F57B10.10	5	ribo-1,ostb-1,ostd-1,dpm-1,dad-1
cel00640	Propanoate metabolism	5/104	17/981	0.026631922683989263	0.10652769073595705	0.0784940879107052	CELE_F13D12.2/CELE_K04D7.3/CELE_LLC1.3/CELE_T05G5.6/CELE_F13D12.4	5	ldh-1,gta-1,dld-1,ech-6,alh-8
cel00051	Fructose and mannose metabolism	4/104	12/981	0.030190626774113643	0.11321485040292616	0.08342146871794559	CELE_Y17G7B.7/CELE_F01F1.12/CELE_K07A3.1/CELE_T05D4.1	4	tpi-1,aldo-2,fbp-1,aldo-1
cel00350	Tyrosine metabolism	4/104	13/981	0.04012882050012119	0.14163113117689832	0.10435978086718821	CELE_T21C12.2/CELE_T01C8.5/CELE_K12G11.3/CELE_K10C2.4	4	hpd-1,got-1.2,sodh-1,fah-1
cel04141	Protein processing in endoplasmic reticulum	12/104	68/981	0.04648268001683704	0.15494226672279013	0.11416798600626639	CELE_T22D1.4/CELE_T09A5.11/CELE_ZK632.6/CELE_M01A10.3/CELE_C30C11.4/CELE_Y38F2AR.9/CELE_C15H9.6/CELE_F43E2.8/CELE_Y54G2A.18/CELE_Y56A3A.21/CELE_Y71F9AM.6/CELE_F57B10.10	12	ribo-1,ostb-1,cnx-1,ostd-1,hsp-110,Y38F2AR.9,hsp-3,hsp-4,Y54G2A.18,trap-4,trap-1,dad-1
cel00410	beta-Alanine metabolism	4/104	15/981	0.06493354482942723	0.20505329946134915	0.15109190486625726	CELE_K04D7.3/CELE_T05G5.6/CELE_F13D12.4/CELE_Y69F12A.2	4	gta-1,ech-6,alh-8,alh-12
cel00230	Purine metabolism	6/104	32/981	0.11332885778800814	0.3307083809031935	0.2436798596128794	CELE_C37H5.6/CELE_F25H2.5/CELE_R05F9.6/CELE_Y43F4B.5/CELE_R07H5.8/CELE_F32D1.5	6	adss-1,ndk-1,R05F9.6,Y43F4B.5,R07H5.8,F32D1.5
cel00071	Fatty acid degradation	5/104	25/981	0.11574793331611773	0.3307083809031935	0.2436798596128794	CELE_F37C12.7/CELE_C55B7.4/CELE_K12G11.3/CELE_T05G5.6/CELE_Y69F12A.2	5	acs-4,acdh-1,sodh-1,ech-6,alh-12
cel00500	Starch and sucrose metabolism	3/104	12/981	0.12553824776917574	0.34237703937047925	0.25227781848351105	CELE_R05F9.6/CELE_Y43F4B.5/CELE_Y87G2A.8	3	R05F9.6,Y43F4B.5,gpi-1
cel00250	Alanine, aspartate and glutamate metabolism	4/104	19/981	0.13300534633079375	0.3469704686890272	0.2556624506129674	CELE_T01C8.5/CELE_C37H5.6/CELE_K04D7.3/CELE_C32F10.8	4	got-1.2,adss-1,gta-1,C32F10.8
cel00280	Valine, leucine and isoleucine degradation	6/104	34/981	0.14166263705189783	0.3541565926297446	0.26095748930612755	CELE_K04D7.3/CELE_C55B7.4/CELE_LLC1.3/CELE_T05G5.6/CELE_F13D12.4/CELE_Y69F12A.2	6	gta-1,acdh-1,dld-1,ech-6,alh-8,alh-12
cel00062	Fatty acid elongation	3/104	13/981	0.15116107594989214	0.36278658227974114	0.2673164290482303	CELE_C56G2.6/CELE_C15F1.6/CELE_T05G5.6	3	let-767,art-1,ech-6
cel00260	Glycine, serine and threonine metabolism	3/104	14/981	0.17828306096349605	0.3961845799188801	0.29192547994022744	CELE_F57B10.3/CELE_LLC1.3/CELE_C05D11.11	3	ipgm-1,dld-1,mel-32
cel00310	Lysine degradation	3/104	14/981	0.17828306096349605	0.3961845799188801	0.29192547994022744	CELE_LLC1.3/CELE_T05G5.6/CELE_Y69F12A.2	3	dld-1,ech-6,alh-12
cel00970	Aminoacyl-tRNA biosynthesis	4/104	22/981	0.19723284836603241	0.4226418179272123	0.31142028689373535	CELE_Y41E3.4/CELE_F58B3.5/CELE_F26F4.10/CELE_Y87G2A.5	4	qars-1,mars-1,rars-1,glp-4
cel00480	Glutathione metabolism	5/104	31/981	0.22475080992324428	0.46500167570326406	0.3426328136760893	CELE_R107.7/CELE_C46F11.2/CELE_T07F10.1/CELE_R07B1.4/CELE_F59B8.2	5	gst-1,gsr-1,anp-1,gst-36,idh-1
cel00270	Cysteine and methionine metabolism	4/104	24/981	0.2444385116167885	0.474619416567668	0.3497195701024922	CELE_T01C8.5/CELE_F13D12.2/CELE_F46E10.10/CELE_F20H11.3	4	got-1.2,ldh-1,mdh-1,mdh-2
cel04142	Lysosome	8/104	57/981	0.24946636205692616	0.474619416567668	0.3497195701024922	CELE_VW02B12L.1/CELE_F35H10.4/CELE_F07H5.9/CELE_T16D1.2/CELE_T14F9.3/CELE_C33C12.3/CELE_C07B5.5/CELE_C25B8.3	8	vha-6,vha-5,pho-13,pho-4,hex-1,gba-1,nuc-1,cpr-6
cel01240	Biosynthesis of cofactors	7/104	49/981	0.2558650493739526	0.474619416567668	0.3497195701024922	CELE_T21C12.2/CELE_C37H5.6/CELE_F25H2.5/CELE_K07E3.4/CELE_LLC1.3/CELE_C05D11.11/CELE_F29F11.1	7	hpd-1,adss-1,ndk-1,K07E3.4,dld-1,mel-32,sqv-4
cel00330	Arginine and proline metabolism	3/104	17/981	0.26585762442096367	0.474619416567668	0.3497195701024922	CELE_T01C8.5/CELE_C16A3.10/CELE_Y69F12A.2	3	got-1.2,oatr-1,alh-12
cel03013	Nucleocytoplasmic transport	4/104	25/981	0.26895100272167854	0.474619416567668	0.3497195701024922	CELE_F53F10.5/CELE_F59A2.1/CELE_C53D5.6/CELE_K01G5.4	4	npp-11,npp-9,imb-3,ran-1
cel01212	Fatty acid metabolism	5/104	34/981	0.28803054691794017	0.493766651859326	0.3638280592647665	CELE_C56G2.6/CELE_F37C12.7/CELE_C15F1.6/CELE_C55B7.4/CELE_T05G5.6	5	let-767,acs-4,art-1,acdh-1,ech-6
cel00980	Metabolism of xenobiotics by cytochrome P450	3/104	20/981	0.3574810803827376	0.5958018006378961	0.43901185310160756	CELE_R107.7/CELE_K12G11.3/CELE_R07B1.4	3	gst-1,sodh-1,gst-36
cel00380	Tryptophan metabolism	3/104	21/981	0.38792602452206815	0.6125147755611603	0.4513266767292759	CELE_LLC1.3/CELE_T05G5.6/CELE_Y69F12A.2	3	dld-1,ech-6,alh-12
cel00982	Drug metabolism - cytochrome P450	3/104	21/981	0.38792602452206815	0.6125147755611603	0.4513266767292759	CELE_R107.7/CELE_K12G11.3/CELE_R07B1.4	3	gst-1,sodh-1,gst-36
cel00053	Ascorbate and aldarate metabolism	2/104	13/981	0.40855403176527105	0.6128310476479066	0.4515597193195101	CELE_Y69F12A.2/CELE_F29F11.1	2	alh-12,sqv-4
cel04068	FoxO signaling pathway	2/104	13/981	0.40855403176527105	0.6128310476479066	0.4515597193195101	CELE_R11A5.4/CELE_W05G11.6	2	pck-2,pck-1
cel01040	Biosynthesis of unsaturated fatty acids	2/104	14/981	0.44693252689889973	0.623626781719395	0.45951447074060675	CELE_C56G2.6/CELE_C15F1.6	2	let-767,art-1
cel02010	ABC transporters	2/104	14/981	0.44693252689889973	0.623626781719395	0.45951447074060675	CELE_K08E7.9/CELE_T10H9.5	2	pgp-1,pmp-5
cel04020	Calcium signaling pathway	2/104	14/981	0.44693252689889973	0.623626781719395	0.45951447074060675	CELE_K11D9.2/CELE_T27E9.1	2	sca-1,ant-1.1
cel04146	Peroxisome	3/104	24/981	0.47670043228391257	0.6500460440235171	0.4789812955962757	CELE_F37C12.7/CELE_T10H9.5/CELE_F59B8.2	3	acs-4,pmp-5,idh-1
cel04145	Phagosome	5/104	44/981	0.5082865210304794	0.6777153613739726	0.4993692136439798	CELE_ZK632.6/CELE_VW02B12L.1/CELE_F35H10.4/CELE_Y38F2AR.9/CELE_T04C12.5	5	cnx-1,vha-6,vha-5,Y38F2AR.9,act-2
cel00564	Glycerophospholipid metabolism	2/104	19/981	0.6156362978935898	0.7859186781620295	0.5790979733825481	CELE_F54D11.1/CELE_T05C3.6	2	pmt-2,T05C3.6
cel03008	Ribosome biogenesis in eukaryotes	2/104	19/981	0.6156362978935898	0.7859186781620295	0.5790979733825481	CELE_K01G5.4/CELE_W01B11.3	2	ran-1,nol-58
cel00040	Pentose and glucuronate interconversions	1/104	11/981	0.7104477114576171	0.8800946325979379	0.64849078191427	CELE_F29F11.1	1	sqv-4
cel00983	Drug metabolism - other enzymes	3/104	34/981	0.7187439499549826	0.8800946325979379	0.64849078191427	CELE_R107.7/CELE_F25H2.5/CELE_R07B1.4	3	gst-1,ndk-1,gst-36
cel00561	Glycerolipid metabolism	1/104	14/981	0.7940300445002801	0.9341529935297413	0.6883232583903357	CELE_Y69F12A.2	1	alh-12
cel00600	Sphingolipid metabolism	1/104	14/981	0.7940300445002801	0.9341529935297413	0.6883232583903357	CELE_C33C12.3	1	gba-1
cel03018	RNA degradation	1/104	15/981	0.8161819321651931	0.9417483832675304	0.6939198613550224	CELE_T21B10.2	1	enol-1
cel04310	Wnt signaling pathway	1/104	16/981	0.8359718690749446	0.9463832480093712	0.6973350248490103	CELE_C03C10.1	1	kin-19
cel00240	Pyrimidine metabolism	1/104	18/981	0.8694383615067116	0.946648367305591	0.6975303759093828	CELE_F25H2.5	1	ndk-1
cel04120	Ubiquitin mediated proteolysis	1/104	19/981	0.883538476151885	0.946648367305591	0.6975303759093828	CELE_C47E12.5	1	uba-1
cel04361	Axon regeneration	1/104	19/981	0.883538476151885	0.946648367305591	0.6975303759093828	CELE_C26C6.2	1	goa-1
cel04140	Autophagy - animal	1/104	28/981	0.9585990740301225	0.9925278795731342	0.7313363323170462	CELE_C25B8.3	1	cpr-6
cel04212	Longevity regulating pathway - worm	1/104	30/981	0.9671463407749685	0.9925278795731342	0.7313363323170462	CELE_R07B1.4	1	gst-36
cel03010	Ribosome	4/104	81/981	0.981191400537782	0.9925278795731342	0.7313363323170462	CELE_F13B10.2/CELE_F40F8.10/CELE_C32E8.2/CELE_C09D4.5	4	rpl-3,rps-9,rpl-13,rpl-19
cel00190	Oxidative phosphorylation	2/104	61/981	0.9925278795731342	0.9925278795731342	0.7313363323170462	CELE_VW02B12L.1/CELE_F35H10.4	2	vha-6,vha-5
